,Произведение,Год
0,Михаил Булгаков — Мастер и Маргарита,1929-1940
1,Михаил Булгаков — Собачье сердце,1925
2,"Илья Ильф, Евгений Петров — Двенадцать стульев",1928
3,Николай Гоголь — Мёртвые души,1842
4,Александр Дюма — Граф Монте-Кристо,1844-1845
5,"Илья Ильф, Евгений Петров — Золотой теленок",1931
6,Эрих Мария Ремарк — Три товарища,1936
7,Виктор Гюго — Отверженные,1862
8,Александр Пушкин — Евгений Онегин,1825-1837
9,Федор Достоевский — Преступление и наказание,1866
10,Лев Толстой — Война и мир,1865-1868
11,Александр Пушкин — Повести Белкина,1831
12,Федор Достоевский — Село Степанчиково и его обитатели,1859
13,Николай Гоголь — Ревизор,1836
14,Александр Дюма — Три мушкетера,1844
15,Иван Тургенев — Отцы и дети,1860-1861
16,Антон Чехов — Палата № 6,1892
17,Артур Конан Дойль — Собака Баскервилей,1901-1902
18,Федор Достоевский — Братья Карамазовы,1879-1880
19,Федор Достоевский — Идиот,1868-1869
20,Иван Тургенев — Рудин,1855
21,Артур Конан Дойль — Приключения Шерлока Холмса,1887-1927
22,Александр Грибоедов — Горе от ума,1828
23,Александр Пушкин — Дубровский,"1833, 1842"
24,Федор Достоевский — Униженные и оскорблённые,1861
25,Иван Тургенев — Дворянское гнездо,1859
26,Антон Чехов — Драма на охоте,1884-1885
27,Антон Чехов — Рассказы,1883-1885
28,Лев Толстой — Воскресение,1899
29,Александр Пушкин — Капитанская дочка,1836
30,Жюль Верн — Двадцать тысяч лье под водой,1869
31,Борис Васильев — А зори здесь тихие,1969
32,Эрих Мария Ремарк — Триумфальная арка,1945
33,Федор Достоевский — Подросток,1875
34,Эрнест Хемингуэй — Старик и море,1952
35,Лев Толстой — Анна Каренина,1873-1877
36,Шарлотта Бронте — Джейн Эйр,1847
37,Даниель Дефо — Робинзон Крузо,1719
38,Жюль Верн — Дети капитана Гранта,1868
39,Михаил Лермонтов — Герой нашего времени,1839-1840
40,Александр Пушкин — Руслан и Людмила,1820
41,"Александр Дюма — Виконт де Бражелон, или Десять лет спустя",1847-1850
42,Александр Дюма — Двадцать лет спустя,1845
43,Федор Достоевский — Бесы,1870-1872
44,Эрих Мария Ремарк — Черный обелиск,1956
45,Джек Лондон — Белый Клык,1906
46,Михаил Шолохов — Тихий Дон,1926-1940
47,Станислав Лем — Солярис,1961
48,Иван Гончаров — Обломов,1848-1858
49,Юлиан Семенов — Семнадцать мгновений весны,1969
50,Михаил Булгаков — Белая гвардия,1924
51,Александр Дюма — Графиня де Монсоро,1846
52,Антон Чехов — Вишневый сад,1903
53,Артур Конан Дойль — Возвращение Шерлока Холмса,1905
54,"Леонид Филатов — Про Федота-стрельца, удалого молодца",1985
55,Лев Толстой — Детство. Отрочество. Юность,1852-1857
56,"Григорий Белых, Л. Пантелеев — Республика ШКИД",1926
57,Владимир Обручев — Земля Санникова,1924
58,Вениамин Каверин — Два капитана,1938-1944
59,Антон Чехов — Дядя Ваня,1896
60,Аркадий и Борис Стругацкие — Пикник на обочине,1972
61,Александр Грин — Алые паруса,1916—1922
62,Николай Гоголь — Вечера на хуторе близ Диканьки,1831-1832
63,Михаил Шолохов — Судьба человека,1957
64,Федор Достоевский — Игрок,1866
65,Джордж Оруэлл — 1984,1947-1948
66,Борис Пастернак — Доктор Живаго,1945-1955
67,Александр Беляев — Человек-амфибия,1928
68,Александр Пушкин — Пиковая дама,1834
69,Федор Достоевский — Бедные люди,1845
70,Алексей Толстой — Пётр Первый,1929-1945
71,Михаил Булгаков — Записки юного врача,1925-1926
72,Аркадий и Борис Стругацкие — Трудно быть богом,1963
73,Михаил Булгаков — Морфий,1926
74,Александр Пушкин — Борис Годунов,1825
75,Алексей Толстой — Хождение по мукам,1922-1941
76,Федор Достоевский — Записки из Мёртвого дома,1860-1861
77,Александр Волков — Волшебник Изумрудного города,1939
78,Александр Пушкин — Медный всадник,1833
79,Антон Чехов — Чайка,1896
80,Владимир Богомолов — Момент истины (В августе 44-го),1974
81,Николай Гоголь — Тарас Бульба,"1835, 1842"
82,Александр Дюма — Сорок пять,1848
83,Михаил Булгаков — Иван Васильевич,1934—1936
84,Михаил Булгаков — Бег,1926
85,Константин Симонов — Живые и мертвые,1959-1971
86,Жюль Верн — Таинственный остров,1874
87,Антон Чехов — Три сестры,1900
88,Александр Островский — Бесприданница,1878
89,Иван Тургенев — Записки охотника,1852
90,Валентин Катаев — Белеет парус одинокий,1936
91,Марк Твен — Приключения Тома Сойера,1876
92,Иоганн Вольфганг фон Гёте — Фауст,1774-1831
93,Джек Лондон — Мартин Иден,1909
94,Лев Толстой — Хаджи-Мурат,1896-1904
95,Марк Твен — Приключения Гекльберри Финна,1884
96,Аркадий и Борис Стругацкие — Понедельник начинается в субботу,1965
97,Лев Толстой — Кавказский пленник,1872
98,Габриэль Гарсиа Маркес — Сто лет одиночества,1967
99,Артур Конан Дойль — Записки о Шерлоке Холмсе,1894
